student_id,topic,score,confidence,fatigue,engagement,time_spent,attempts,name,archetype,year,branch
1,ai_ml,0.4899,0.5191666666666667,0.3358333333333334,0.6892666666666667,58.653333333333336,2.333333333333333,Mary Hopkins,average,2,IT
1,data_structures,0.6192000000000001,0.6083,0.3472333333333333,0.6169666666666667,57.63666666666666,3.333333333333333,Mrs. Shannon Knapp,average,3,CSE
1,databases,0.602,0.5642666666666667,0.3714,0.6259666666666667,53.223333333333336,2.0,Mark Williams,average,1,ECE
1,linear_algebra,0.6927,0.5072,0.3484666666666667,0.6766333333333333,45.446666666666665,2.0,Carrie Obrien,average,1,ECE
1,networking,0.5504,0.5059,0.3802666666666667,0.6589666666666666,40.85333333333333,2.333333333333333,Alec Preston,average,1,CSE
1,os_concepts,0.6342333333333333,0.5273,0.3816333333333333,0.5750666666666667,58.28,3.6666666666666665,Suzanne Buchanan,average,1,EEE
1,probability,0.5178333333333334,0.5683666666666667,0.4100666666666666,0.5748333333333333,55.60666666666666,1.3333333333333333,Melissa Reynolds,average,1,EEE
1,python_basics,0.6174666666666666,0.4158666666666666,0.3172333333333333,0.6676333333333333,51.32,2.6666666666666665,Rebecca Sherman,average,2,CSE
2,ai_ml,0.3079666666666666,0.311,0.5937666666666667,0.4293666666666667,66.92333333333333,2.0,Alexandra Garza,weak,1,IT
2,data_structures,0.3900666666666666,0.3185,0.7109,0.3179,61.47666666666667,4.0,Lauren Ochoa,weak,1,IT
2,databases,0.4550666666666667,0.3455333333333333,0.6581666666666667,0.3661,45.49,3.333333333333333,Melanie Gates,weak,4,IT
2,linear_algebra,0.5150666666666667,0.4034,0.5464,0.4464333333333333,54.17,2.6666666666666665,Mark Christensen,weak,4,ECE
2,networking,0.5490666666666667,0.2408666666666666,0.7622,0.1990333333333333,50.623333333333335,3.0,Charles Ferrell,weak,1,CSE
2,os_concepts,0.5125666666666667,0.3686333333333333,0.6228666666666667,0.3442333333333333,46.70333333333334,2.333333333333333,Betty Schwartz,weak,4,EEE
2,probability,0.4676,0.3250666666666666,0.6528666666666667,0.3646333333333333,57.25,4.0,Sarah Morgan,weak,3,IT
2,python_basics,0.4725333333333333,0.2774666666666667,0.5918333333333333,0.3973333333333333,50.370000000000005,3.0,Cody Osborne,weak,2,EEE
3,ai_ml,0.6077666666666667,0.6335000000000001,0.4714,0.5096333333333333,58.13666666666666,2.333333333333333,Natalie Booker,average,4,CSE
3,data_structures,0.5802999999999999,0.4925666666666666,0.3940333333333333,0.6296,52.5,1.6666666666666667,Randy Wilson,average,2,IT
3,databases,0.6213000000000001,0.5444666666666667,0.3394,0.7124,52.59666666666667,1.6666666666666667,Mr. John Delacruz,average,1,IT
3,linear_algebra,0.5923333333333334,0.4874666666666667,0.4479666666666667,0.5591333333333334,53.82666666666668,3.0,Anthony Williams,average,4,EEE
3,networking,0.6571333333333333,0.6064333333333334,0.4786666666666666,0.5101333333333333,53.99666666666667,2.0,Jillian Andrade,average,2,IT
3,os_concepts,0.5364666666666666,0.6138333333333333,0.4049,0.6073333333333334,40.28333333333333,2.333333333333333,David Leon,average,2,IT
3,probability,0.6970666666666666,0.5530666666666667,0.4649666666666667,0.5419333333333333,49.88,3.0,Nathaniel Li,average,3,ECE
3,python_basics,0.5262333333333333,0.4689333333333333,0.4549,0.5376333333333333,57.06666666666666,2.6666666666666665,Nicole Chen,average,4,CSE
4,ai_ml,0.3448333333333333,0.2995,0.6256,0.3573666666666666,50.77666666666666,2.6666666666666665,Micheal Escobar,weak,4,EEE
4,data_structures,0.3622,0.2391333333333333,0.7878666666666666,0.2676333333333333,49.60999999999999,3.0,Donald Martinez,weak,3,EEE
4,databases,0.3778333333333333,0.3404666666666667,0.6172,0.3186666666666666,55.153333333333336,2.333333333333333,Eric Watson,weak,3,EEE
4,linear_algebra,0.2889333333333333,0.3944,0.7251,0.2599333333333333,56.04333333333333,2.333333333333333,Anthony Tucker DDS,weak,4,CSE
4,networking,0.4845333333333334,0.3782333333333333,0.6026333333333334,0.4115333333333333,54.74,1.6666666666666667,Amber Maxwell,weak,2,EEE
4,os_concepts,0.5232,0.3140333333333333,0.6913,0.3158,44.96,2.0,Dana Kelly,weak,1,EEE
4,probability,0.3852333333333333,0.3544666666666667,0.5949333333333334,0.3898333333333333,64.12333333333333,2.6666666666666665,Jacqueline Harrell,weak,1,IT
4,python_basics,0.4594333333333333,0.2906333333333333,0.6065333333333334,0.3636999999999999,58.5,3.0,Heather Joseph,weak,2,CSE
5,ai_ml,0.5907666666666667,0.5569333333333334,0.461,0.5483,50.57333333333333,2.333333333333333,James Haynes,average,2,ECE
5,data_structures,0.5548333333333333,0.5533333333333333,0.3435333333333333,0.6232000000000001,40.42,2.0,Kelly Jones,average,3,EEE
5,databases,0.6135333333333334,0.6301666666666667,0.2887666666666666,0.6976666666666667,51.43333333333333,2.333333333333333,Rebecca Pham,average,1,CSE
5,linear_algebra,0.6679333333333334,0.6228666666666667,0.3591666666666667,0.6560666666666667,52.836666666666666,1.6666666666666667,William Wilson,average,1,EEE
5,networking,0.4870666666666667,0.5963666666666666,0.3589333333333333,0.6520666666666667,47.96333333333333,3.0,Keith Williams,average,2,CSE
5,os_concepts,0.5497,0.5707,0.3867666666666666,0.6142,56.60999999999999,2.6666666666666665,Deanna Benjamin,average,2,CSE
5,probability,0.6408,0.4607666666666666,0.3607,0.6705,54.26333333333333,2.6666666666666665,Samuel Smith,average,2,IT
5,python_basics,0.6941666666666667,0.5029333333333333,0.4221999999999999,0.5857333333333333,57.94,3.0,Joshua Barnes,average,4,CSE
6,ai_ml,0.6955333333333332,0.6981333333333333,0.2526333333333333,0.7483333333333334,55.46333333333334,2.0,Mark Martinez,strong,1,ECE
6,data_structures,0.8344666666666667,0.6684666666666667,0.2360999999999999,0.7422666666666666,51.35999999999999,2.333333333333333,Stacy Torres,strong,2,ECE
